Session #,Student ID,TC1_1,ANS1_1,TC1_2,ANS1_2,TC1_3,ANS1_3,Points1
Lab1,s20215049,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab1,s20215047,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab1,s20215048,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab1,s20215050,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab2,s20215052,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab2,s20215054,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab2,s20215053,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab2,s20215051,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab3,s20215049,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab3,s20215047,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab3,s20215048,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab3,s20215050,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab4,s20215049,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab4,s20215047,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab4,s20215048,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
Lab4,s20215050,X,Enter first number: Enter second number: The sum is: 4,X,Enter first number: Enter second number: The sum is: 7,X,Enter first number: Enter second number: The sum is: 8,0
